  *WEL.ASC - RUE                                 13.10.2015 11:30

  Ergebnisse GewaesserImmission-SimulationsMOdell    : GISMO 4.10 
  ====================================================
                                                      
  SYDRO Consult GmbH - Darmstadt                      
  SYDRO Software GbR - Dieburg                        
                                                      
   xxxxxxxxxxxxx                          
   yyyyyyyyyyyyyyyyyyy                    
   zzzzzzzzzzzzzzzzzzzzzzz                
   Datum der Simulation       : 13.10.2015 11:30 Uhr
   Wellenausgabe - Verzweigung: RUE             
  
   Datum   Zeit    Qtr_zu    Qzu    Qtr_ab1    Qab1   Qtr_ab2    Qab2    CSzu(3)   CSab1(3)   CSab2(3)
     -      -      cbm/s    cbm/s    cbm/s    cbm/s    cbm/s    cbm/s      mg/l       mg/l       mg/l
 19700623 10:15    0.016    0.155    0.016    0.155    0.000    0.000    201.982    201.982    201.982       T T
 19700623 10:20    0.016    0.436    0.016    0.227    0.000    0.209    149.923    149.923    149.923       T T
 19700623 10:25    0.016    0.748    0.016    0.233    0.000    0.516    142.603    142.603    142.603       T T
 19700623 10:30    0.016    0.853    0.016    0.235    0.000    0.619    141.549    141.549    141.549       T T
 19700623 10:35    0.016    0.714    0.016    0.232    0.000    0.483    142.636    142.636    142.636       T T
 19700623 10:40    0.016    0.482    0.016    0.228    0.000    0.255    145.925    145.925    145.925       T T
 19700623 10:45    0.016    0.291    0.016    0.223    0.000    0.068    152.744    152.744    152.744       T T
 19700623 10:50    0.016    0.176    0.016    0.176    0.000    0.000    164.315    164.315    164.315       T T
 19700623 10:55    0.016    0.120    0.016    0.120    0.000    0.000    179.178    179.178    179.178       T T
 19700623 11:00    0.016    0.095    0.016    0.095    0.000    0.000    193.328    193.328    193.328       T T
 19700623 11:05    0.016    0.084    0.016    0.084    0.000    0.000    204.654    204.654    204.654       T T
 19700623 11:10    0.016    0.078    0.016    0.078    0.000    0.000    215.415    215.415    215.415       T T
 19700623 11:15    0.016    0.073    0.016    0.073    0.000    0.000    226.916    226.916    226.916       T T
 19700623 11:20    0.016    0.069    0.016    0.069    0.000    0.000    238.865    238.865    238.865       T T
 19700623 11:25    0.016    0.065    0.016    0.065    0.000    0.000    251.021    251.021    251.021       T T
 19700623 11:30    0.016    0.061    0.016    0.061    0.000    0.000    263.623    263.623    263.623       T T
 19700623 11:35    0.016    0.058    0.016    0.058    0.000    0.000    276.961    276.961    276.961       T T
 19700623 11:40    0.016    0.055    0.016    0.055    0.000    0.000    291.100    291.100    291.100       T T
 19700623 11:45    0.016    0.053    0.016    0.053    0.000    0.000    305.909    305.909    305.909       T T
 19700623 11:50    0.016    0.051    0.016    0.051    0.000    0.000    321.218    321.218    321.218       T T
 19700623 11:55    0.016    0.049    0.016    0.049    0.000    0.000    336.714    336.714    336.714       T T
 19700623 12:00    0.015    0.048    0.015    0.048    0.000    0.000    350.698    350.698    350.698       T T
 19700623 12:05    0.015    0.047    0.015    0.047    0.000    0.000    364.016    364.016    364.016       T T
 19700623 12:10    0.015    0.046    0.015    0.046    0.000    0.000    377.697    377.697    377.697       T T
