  *WEL.ASC - BEK                                 13.10.2015 11:30

  Ergebnisse GewaesserImmission-SimulationsMOdell    : GISMO 4.10 
  ====================================================
                                                      
  SYDRO Consult GmbH - Darmstadt                      
  SYDRO Software GbR - Dieburg                        
                                                      
   xxxxxxxxxxxxx                          
   yyyyyyyyyyyyyyyyyyy                    
   zzzzzzzzzzzzzzzzzzzzzzz                
   Datum der Simulation   : 13.10.2015 11:30 Uhr
   Wellenausgabe - Becken : BEK             
  
 Datum_Zeit                  Qtzu             Qzu           Qtab1            Qab1          QabKue          QabBue          WSPABS          WSPREL          VolBek            O2zu           O2Bek           O2ab1           O2ab2           CSBzu          CSBBek          CSBab1          CSBab2           BSBzu          BSBBEK          BSBab1          BSBab2           NH4zu          NH4Bek          NH4ab1          NH4ab2             Tzu            TBek            Tab1            Tab2            pHzu           pHBEK           pHab1           pHab2           ALKzu          ALKBek          ALKab1          ALKab2           SICzu          SICBek          SICab1          SICab2             SSL  G  S
 -                          cbm/s           cbm/s           cbm/s           cbm/s           cbm/s           cbm/s             mNN               m          Tsdcbm            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l              °C              °C              °C              °C               -               -               -               -          mmol/l          mmol/l          mmol/l          mmol/l          mmol/l          mmol/l          mmol/l          mmol/l              kg  -  -
   19700623 02:40         0.00026         0.00026         0.00026         0.00026         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       772.57941         0.00000       772.57941         0.00000       351.17252         0.00000       351.17252         0.00000        28.09380         0.00000        28.09380         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 02:45         0.00026         0.00026         0.00026         0.00026         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       772.57941         0.00000       772.57941         0.00000       351.17252         0.00000       351.17252         0.00000        28.09380         0.00000        28.09380         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 02:50         0.00026         0.00026         0.00026         0.00026         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       772.57941         0.00000       772.57941         0.00000       351.17252         0.00000       351.17252         0.00000        28.09380         0.00000        28.09380         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 02:55         0.00026         0.00026         0.00026         0.00026         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       772.57941         0.00000       772.57941         0.00000       351.17252         0.00000       351.17252         0.00000        28.09380         0.00000        28.09380         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 03:00         0.00023         0.00023         0.00023         0.00023         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       742.51642         0.00000       742.51642         0.00000       337.50751         0.00000       337.50751         0.00000        27.00060         0.00000        27.00060         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 03:05         0.00022         0.00022         0.00022         0.00022         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       720.79443         0.00000       720.79443         0.00000       327.63382         0.00000       327.63382         0.00000        26.21070         0.00000        26.21070         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 03:10         0.00022         0.00022         0.00022         0.00022         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       719.09125         0.00000       719.09125         0.00000       326.85959         0.00000       326.85959         0.00000        26.14877         0.00000        26.14877         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 03:15         0.00022         0.00022         0.00022         0.00022         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       719.07080         0.00000       719.07080         0.00000       326.85037         0.00000       326.85037         0.00000        26.14802         0.00000        26.14802         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 03:20         0.00022         0.00022         0.00022         0.00022         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       719.07080         0.00000       719.07080         0.00000       326.85034         0.00000       326.85034         0.00000        26.14802         0.00000        26.14802         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 03:25         0.00022         0.00022         0.00022         0.00022         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       719.07080         0.00000       719.07080         0.00000       326.85034         0.00000       326.85034         0.00000        26.14802         0.00000        26.14802         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 03:30         0.00022         0.00022         0.00022         0.00022         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       719.07080         0.00000       719.07080         0.00000       326.85034         0.00000       326.85034         0.00000        26.14802         0.00000        26.14802         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 03:35         0.00022         0.00022         0.00022         0.00022         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       719.07080         0.00000       719.07080         0.00000       326.85034         0.00000       326.85034         0.00000        26.14802         0.00000        26.14802         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 03:40         0.00022         0.00022         0.00022         0.00022         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       719.07080         0.00000       719.07080         0.00000       326.85034         0.00000       326.85034         0.00000        26.14802         0.00000        26.14802         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 03:45         0.00022         0.00022         0.00022         0.00022         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       719.07080         0.00000       719.07080         0.00000       326.85034         0.00000       326.85034         0.00000        26.14802         0.00000        26.14802         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 03:50         0.00022         0.00022         0.00022         0.00022         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       719.07080         0.00000       719.07080         0.00000       326.85034         0.00000       326.85034         0.00000        26.14802         0.00000        26.14802         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 03:55         0.00022         0.00022         0.00022         0.00022         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       719.07080         0.00000       719.07080         0.00000       326.85034         0.00000       326.85034         0.00000        26.14802         0.00000        26.14802         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 04:00         0.00019         0.00019         0.00019         0.00019         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       681.43427         0.00000       681.43427         0.00000       309.74280         0.00000       309.74280         0.00000        24.77942         0.00000        24.77942         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
