  *WEL.ASC - FKA                                 13.10.2015 11:30

  Ergebnisse GewaesserImmission-SimulationsMOdell    : GISMO 4.10 
  ====================================================
                                                      
  SYDRO Consult GmbH - Darmstadt                      
  SYDRO Software GbR - Dieburg                        
                                                      
   xxxxxxxxxxxxx                          
   yyyyyyyyyyyyyyyyyyy                    
   zzzzzzzzzzzzzzzzzzzzzzz                
   Datum der Simulation   : 13.10.2015 11:30 Uhr
   Wellenausgabe - Flaeche: FKA             
  
   Datum   Zeit    VP    VW  Svab   hvu  PSIu  SUM(hN)     hN  hNeffb  hNeffu    Qtrab      Qab    QabVG    QabUB   CSab(3)
     -      -    mm/d    mm    mm    mm     -      mm      mm      mm      mm    cbm/s    cbm/s    cbm/s    cbm/s      mg/l
 19700623 08:35  2.48  13.5  1.33  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700623 08:40  2.48  13.5  1.32  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700623 08:45  2.48  13.5  1.31  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700623 08:50  2.48  13.5  1.31  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700623 08:55  2.48  13.5  1.30  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700623 09:00  3.31  13.5  1.29  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700623 09:05  3.31  13.5  1.28  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700623 09:10  3.31  13.5  1.26  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700623 09:15  3.31  13.5  1.25  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700623 09:20  3.31  13.5  1.24  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700623 09:25  3.31  13.5  1.23  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700623 09:30  3.31  13.5  1.22  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700623 09:35  3.31  13.5  1.21  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700623 09:40  3.31  13.5  1.20  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700623 09:45  3.31  13.5  1.18  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700623 09:50  3.31  13.5  1.17  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700623 09:55  3.31  13.5  1.16  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700623 10:00  4.97  13.5  1.15  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700623 10:05  4.97  13.5  1.13  8.20  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700623 10:10  4.97  13.5  1.12  8.20  0.00   0.946   0.946   0.561   0.000   0.0010   0.0151   0.0141   0.0000   191.565  T T
 19700623 10:15  4.97  14.5  1.50  8.20  0.00   3.784   2.838   2.821   0.000   0.0010   0.0884   0.0875   0.0000   145.912  T T
 19700623 10:20  4.97  17.3  1.50  8.20  0.00   6.174   2.390   2.373   0.000   0.0010   0.1514   0.1504   0.0000   142.008  T T
 19700623 10:25  4.97  19.7  1.50  8.20  0.00   6.695   0.521   0.504   0.000   0.0010   0.1218   0.1209   0.0000   143.339  T T
 19700623 10:30  4.97  20.2  1.50  8.20  0.00   6.933   0.238   0.221   0.000   0.0010   0.0599   0.0589   0.0000   150.389  T T
 19700623 10:35  4.97  20.5  1.50  8.20  0.00   6.991   0.058   0.041   0.000   0.0010   0.0229   0.0219   0.0000   172.745  T T
 19700623 10:40  4.97  20.5  1.50  8.20  0.00   6.996   0.005   0.000   0.000   0.0010   0.0083   0.0073   0.0000   236.148  T T
 19700623 10:45  4.97  20.5  1.49  8.20  0.00   7.001   0.005   0.000   0.000   0.0010   0.0035   0.0025   0.0000   374.719  T T
 19700623 10:50  4.97  20.5  1.48  8.20  0.00   7.006   0.005   0.000   0.000   0.0010   0.0021   0.0011   0.0000   526.387  T T
 19700623 10:55  4.97  20.5  1.46  8.20  0.00   7.011   0.005   0.000   0.000   0.0010   0.0017   0.0007   0.0000   624.354  T T
 19700623 11:00  5.96  20.5  1.45  8.20  0.00   7.016   0.005   0.000   0.000   0.0010   0.0015   0.0005   0.0000   703.138  T T
 19700623 11:05  5.96  20.5  1.44  8.20  0.00   7.021   0.005   0.000   0.000   0.0010   0.0013   0.0003   0.0000   774.824  T T
 19700623 11:10  5.96  20.5  1.42  8.20  0.00   7.026   0.005   0.000   0.000   0.0010   0.0012   0.0002   0.0000   835.621  T T
 19700623 11:15  5.96  20.5  1.40  8.20  0.00   7.031   0.005   0.000   0.000   0.0010   0.0011   0.0001   0.0000   882.816  T T
 19700623 11:20  5.96  20.5  1.39  8.20  0.00   7.036   0.005   0.000   0.000   0.0010   0.0011   0.0001   0.0000   916.782  T T
 19700623 11:25  5.96  20.6  1.37  8.20  0.00   7.041   0.005   0.000   0.000   0.0010   0.0010   0.0000   0.0000   939.812  T T
 19700623 11:30  5.96  20.6  1.36  8.20  0.00   7.046   0.005   0.000   0.000   0.0010   0.0010   0.0000   0.0000   954.739  T T
 19700623 11:35  5.96  20.6  1.34  8.20  0.00   7.051   0.005   0.000   0.000   0.0010   0.0010   0.0000   0.0000   964.094  T T
 19700623 11:40  5.96  20.6  1.33  8.20  0.00   7.056   0.005   0.000   0.000   0.0010   0.0010   0.0000   0.0000   968.475  T T
 19700623 11:45  5.96  20.6  1.31  8.20  0.00   7.061   0.005   0.000   0.000   0.0010   0.0010   0.0000   0.0000   972.464  T T
 19700623 11:50  5.96  20.6  1.29  8.20  0.00   7.066   0.005   0.000   0.000   0.0010   0.0010   0.0000   0.0000   974.824  T T
 19700623 11:55  5.96  20.6  1.28  8.20  0.00   7.071   0.005   0.000   0.000   0.0010   0.0010   0.0000   0.0000   976.205  T T
 19700623 12:00  6.46  20.6  1.26  8.20  0.00   7.076   0.005   0.000   0.000   0.0009   0.0009   0.0000   0.0000   970.780  T T
 19700623 12:05  6.46  20.6  1.25  8.20  0.00   7.081   0.005   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.261  T T
 19700623 12:10  6.46  20.6  1.23  8.20  0.00   7.086   0.005   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.536  T T
 19700623 12:15  6.46  20.6  1.21  8.20  0.00   7.091   0.005   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.692  T T
 19700623 12:20  6.46  20.6  1.19  8.20  0.00   7.094   0.003   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.780  T T
 19700623 12:25  6.46  20.6  1.17  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700623 12:30  6.46  20.6  1.15  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700623 12:35  6.46  20.6  1.13  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700623 12:40  6.46  20.6  1.11  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700623 12:45  6.46  20.6  1.08  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700623 12:50  6.46  20.6  1.06  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700623 12:55  6.46  20.6  1.04  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700623 13:00  6.62  20.6  1.02  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700623 13:05  6.62  20.6  0.99  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700623 13:10  6.62  20.6  0.97  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700623 13:15  6.62  20.6  0.95  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700623 13:20  6.62  20.6  0.92  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700623 13:25  6.62  20.6  0.90  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700623 13:30  6.62  20.6  0.88  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700623 13:35  6.62  20.6  0.86  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700623 13:40  6.62  20.6  0.83  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700623 13:45  6.62  20.6  0.81  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700623 13:50  6.62  20.6  0.79  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700623 13:55  6.62  20.6  0.76  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700623 14:00  6.62  20.6  0.74  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700623 14:05  6.62  20.6  0.72  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700623 14:10  6.62  20.6  0.69  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700623 14:15  6.62  20.6  0.67  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700623 14:20  6.62  20.6  0.65  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700623 14:25  6.62  20.6  0.63  6.52  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
